index,x,y,w
0,-0.4249250793016255,-1.7269884239189248,1,0
1,0.5163576383061917,-0.484876858878498,1,0
2,-1.8275324116378315,-0.03134727971401285,1,0
3,-1.223697814632421,0.2261927891257567,1,0
4,0.7192411885550114,-0.045314336962328415,1,0
5,-0.9024473359540494,-1.5342960564016257,1,0
6,-1.0852325645183447,-2.596412031051088,1,0
7,-0.14018353995966704,0.04292196331853098,1,0
8,-0.6130665363416804,0.2831237835342817,1,0
9,1.365364424699662,0.5617771451411742,1,0
21,6.170449357408779,4.339315928035762,0,1
20,4.277881617802754,5.79048946219074,0,1
22,6.572542050045631,6.710881715980024,0,1
23,6.5522973538385045,5.976927421117386,0,1
24,4.903059391393281,6.930721839547028,0,1
25,6.415546941091633,5.88427550800283,0,1
26,5.035788849652221,7.426857519152199,0,1
27,5.338572434861929,7.040699606396084,0,1
28,5.652757162432276,5.801233850136926,0,1
29,5.1805193838848,6.33973649206608,0,1
