index, number_packets_client_server, number_packets_server_client
172.16.113.204/207.46.148.249, 10, 10
172.16.114.207/207.25.71.25, 3, 3
172.16.113.84/207.121.187.251, 1, 1
172.16.113.84/204.71.242.233, 1, 1
172.16.113.84/152.163.212.59, 1, 1
196.37.75.158/172.16.114.148, 625, 754
172.16.112.149/204.162.80.141, 6, 6
172.16.114.148/137.241.123.150, 1, 1
197.182.91.233/172.16.113.84, 283, 285
172.16.114.207/152.163.210.14, 1, 1
172.16.115.234/139.72.190.26, 7, 7
172.16.116.44/129.105.213.70, 1, 1
172.16.117.132/207.240.16.92, 3, 3
172.16.117.103/207.168.8.10, 1, 1
172.16.114.148/208.147.89.71, 3, 3
172.16.113.204/209.25.64.103, 3, 3
172.16.112.207/136.149.142.178, 2, 2
172.16.116.44/198.3.99.101, 2, 2
172.16.114.207/206.132.25.71, 1, 1
172.16.113.84/204.146.18.33, 2, 2
172.16.116.201/208.134.241.220, 1, 1
172.16.113.50/197.218.177.69, 619, 1750
135.13.216.191/172.16.114.169, 451, 448
172.16.113.105/197.218.177.69, 1325, 3155
172.16.117.103/209.26.69.29, 1, 1
172.16.117.132/206.132.25.71, 898, 1201
172.16.115.234/204.27.201.50, 1, 1
172.16.114.169/204.152.167.20, 1, 1
172.16.117.52/207.25.71.145, 5, 5
172.16.117.132/137.245.85.134, 1, 1
172.16.116.44/152.163.210.14, 9, 9
172.16.112.207/207.240.102.83, 1, 1
172.16.116.201/205.181.211.160, 1, 1
172.16.112.149/197.218.177.69, 1025, 2449
172.16.114.207/205.169.236.247, 3, 3
172.16.112.207/134.205.165.120, 3, 3
172.16.113.84/197.218.177.69, 1121, 1564
172.16.114.207/209.41.61.94, 1, 1
172.16.117.52/149.75.4.13, 1, 1
172.16.112.149/207.155.85.24, 1, 1
172.16.116.201/206.79.171.51, 5, 5
172.16.113.204/134.205.165.120, 1, 1
172.16.113.84/207.155.125.158, 1, 1
172.16.113.84/204.71.177.164, 1, 1
172.16.112.20/135.8.60.182, 43, 44
172.16.117.132/204.71.242.42, 1, 1
195.115.218.108/172.16.112.194, 211, 204
209.12.13.144/172.16.112.50, 31, 25
172.16.117.132/207.25.71.21, 1, 1
172.16.116.201/198.3.99.199, 1, 1
172.16.112.149/195.115.218.108, 224, 223
172.16.115.234/192.102.198.18, 1, 1
172.16.113.204/131.84.1.31, 9, 9
172.16.117.52/196.227.33.189, 31, 35
172.16.115.234/204.162.243.48, 1, 1
172.16.117.132/199.81.22.67, 2, 2
172.16.113.84/209.44.26.58, 5, 5
172.16.117.103/128.32.25.12, 6, 6
172.16.112.20/196.227.33.189, 144, 147
172.16.114.168/139.142.67.44, 2, 2
172.16.113.204/204.202.136.230, 2, 2
196.37.75.158/192.168.1.20, 67, 236
172.16.117.132/208.19.100.3, 1, 1
172.16.115.5/207.68.156.95, 1, 1
172.16.114.168/206.71.77.228, 10, 10
172.16.117.52/167.8.29.15, 9, 9
194.27.251.21/172.16.112.207, 356, 372
172.16.116.201/204.168.91.155, 2, 2
172.16.116.44/204.34.175.79, 13, 13
172.16.112.207/131.15.144.55, 4, 4
172.16.114.169/207.46.148.249, 9, 9
172.16.115.5/136.149.142.178, 2, 2
172.16.116.44/204.17.42.16, 1, 1
172.16.112.149/204.71.200.101, 1, 1
172.16.112.207/198.3.99.101, 2, 2
172.16.114.207/131.84.1.31, 13, 13
172.16.112.149/137.245.85.134, 4, 4
172.16.114.169/205.181.112.114, 1, 1
172.16.116.44/205.181.112.65, 7, 7
172.16.113.204/209.1.112.251, 1, 1
172.16.116.44/206.83.105.134, 2, 2
172.16.112.20/194.27.251.21, 40, 43
