index, bytes_client_server, bytes_server_client
172.16.114.207/152.163.210.11, 44, 40
172.16.112.194/136.149.142.178, 132, 120
197.182.91.233/192.168.1.20, 1230, 2520
172.16.116.201/206.184.238.129, 44, 40
172.16.117.132/205.181.112.65, 44, 40
172.16.117.132/38.176.11.53, 44, 40
206.229.221.82/172.16.112.50, 9358, 13060
172.16.116.44/206.79.171.51, 1672, 1520
197.182.91.233/172.16.114.169, 72134, 40718
172.16.113.204/152.163.210.11, 88, 80
172.16.113.204/143.89.53.151, 44, 40
172.16.116.201/128.231.164.4, 44, 40
172.16.114.148/205.181.130.22, 44, 40
206.222.3.197/172.16.112.50, 4666, 6567
172.16.115.5/136.149.142.178, 88, 80
172.16.115.234/208.225.124.140, 44, 40
197.182.91.233/172.16.113.204, 47028, 45464
172.16.115.234/196.227.33.189, 2330, 12803
172.16.112.149/207.25.71.25, 88, 80
172.16.113.50/197.218.177.69, 26796, 811171
172.16.116.201/208.237.178.21, 44, 40
172.16.117.103/207.51.123.250, 88, 80
172.16.113.84/207.37.250.41, 44, 40
172.16.115.87/194.27.251.21, 1880, 10399
172.16.112.149/204.123.2.66, 88, 80
172.16.117.132/206.132.25.71, 80200, 885482
172.16.116.44/207.25.71.25, 44, 40
172.16.114.148/204.71.154.30, 132, 120
172.16.116.201/207.51.123.250, 88, 80
172.16.112.194/134.205.165.120, 44, 40
172.16.117.52/140.90.6.254, 44, 40
172.16.114.168/152.163.210.11, 44, 40
135.13.216.191/172.16.114.169, 49396, 45638
172.16.117.132/209.21.140.120, 44, 40
172.16.112.149/204.107.232.38, 264, 240
172.16.117.132/152.163.210.14, 44, 40
172.16.113.204/206.71.77.228, 352, 320
172.16.112.194/205.181.112.65, 44, 40
195.73.151.50/172.16.112.50, 23012, 22672
172.16.113.84/132.60.26.15, 44, 40
172.16.112.207/207.46.131.13, 44, 40
172.16.112.194/207.25.71.141, 44, 40
172.16.112.194/207.46.148.249, 88, 80
172.16.117.103/134.205.165.120, 352, 320
172.16.114.169/207.46.148.249, 396, 360
172.16.112.207/209.44.26.58, 220, 200
207.136.86.223/172.16.112.50, 4804, 6531
172.16.113.204/62.52.69.77, 44, 40
172.16.112.149/206.135.116.3, 88, 80
172.16.114.207/131.84.1.31, 572, 520
172.16.117.103/187.187.187.187, 88, 80
172.16.112.207/206.79.171.51, 132, 120
172.16.112.207/152.163.210.14, 44, 40
172.16.112.207/199.95.74.94, 88, 80
172.16.115.234/204.71.191.33, 44, 40
194.27.251.21/172.16.114.207, 30594, 27170
135.8.60.182/172.16.114.148, 74703, 3103471
172.16.116.44/208.237.178.21, 44, 40
172.16.116.201/205.181.112.122, 44, 40
172.16.115.234/205.228.184.153, 44, 40
196.37.75.158/172.16.112.194, 23167, 21225
172.16.115.234/167.8.29.15, 88, 80
172.16.113.84/205.140.147.87, 88, 80
172.16.117.52/207.46.130.14, 88, 80
172.16.117.132/207.121.187.121, 44, 40
172.16.113.204/196.3.140.2, 132, 120
172.16.112.207/208.237.178.21, 44, 40
172.16.112.207/207.240.102.83, 44, 40
172.16.114.168/62.52.69.77, 44, 40
172.16.113.84/205.140.147.94, 132, 120
172.16.117.103/208.226.198.35, 44, 40
172.16.112.194/198.69.192.236, 264, 240
172.16.116.201/134.152.180.104, 44, 40
194.7.248.153/172.16.113.84, 24551, 20621
172.16.116.44/207.77.90.36, 572, 520
172.16.116.44/205.181.112.122, 176, 160
172.16.114.207/199.95.74.90, 176, 160
172.16.114.50/135.8.60.182, 27645, 19561
172.16.112.149/205.148.64.83, 132, 120
172.16.112.194/209.1.112.252, 44, 40
172.16.114.148/204.71.154.162, 44, 40
172.16.113.84/204.144.184.20, 44, 40
196.227.33.189/172.16.112.207, 21821, 25653
172.16.113.204/196.37.75.158, 25677, 25015
192.168.1.10/172.16.114.50, 22798, 10252
172.16.112.194/209.113.183.114, 44, 40
172.16.117.52/136.149.142.178, 88, 80
172.16.114.148/197.182.91.233, 930873, 95664
135.13.216.191/172.16.113.50, 6963, 3149
172.16.117.132/207.237.112.46, 44, 40
172.16.115.234/129.105.213.70, 44, 40
172.16.117.111/134.205.165.120, 176, 160
172.16.113.84/204.71.177.135, 44, 40
172.16.112.207/152.163.210.11, 44, 40
172.16.112.207/209.27.46.221, 44, 40
172.16.116.201/134.205.165.120, 396, 360
172.16.113.105/197.218.177.69, 73201, 3276151
172.16.113.204/143.166.224.32, 44, 40
172.16.112.194/196.227.33.189, 41103, 41404
172.16.116.201/199.35.192.185, 44, 40
172.16.112.207/198.30.29.17, 264, 240
172.16.115.5/207.68.156.95, 44, 40
172.16.113.84/209.12.8.14, 44, 40
192.168.1.10/172.16.112.149, 6934, 2682
172.16.113.204/137.245.85.134, 176, 160
172.16.114.207/137.161.42.245, 44, 40
192.168.1.10/172.16.112.50, 14232, 10909
172.16.113.84/199.95.74.94, 88, 80
172.16.116.44/207.46.148.249, 836, 760
195.115.218.108/172.16.113.84, 27897, 25057
172.16.112.20/195.73.151.50, 9776, 3430
172.16.116.44/152.163.210.11, 132, 120
172.16.113.105/197.182.91.233, 37775, 195387
172.16.114.169/152.163.210.11, 88, 80
172.16.112.207/187.187.187.187, 44, 40
135.13.216.191/172.16.113.84, 33891, 31091
172.16.114.148/208.195.192.200, 44, 40
172.16.115.87/195.115.218.108, 1966, 16394
172.16.112.149/135.8.60.182, 39543, 42174
172.16.114.168/205.177.58.116, 176, 160
172.16.117.111/207.25.71.25, 264, 240
172.16.115.234/209.130.54.80, 88, 80
172.16.112.207/208.158.201.3, 44, 40
135.8.60.182/172.16.112.207, 28286, 28066
135.8.60.182/172.16.113.84, 57815, 39559
172.16.112.207/207.46.130.14, 176, 160
172.16.113.105/206.184.139.14, 44, 40
172.16.113.204/207.46.148.249, 440, 400
172.16.113.84/207.121.187.251, 44, 40
172.16.113.204/134.205.165.120, 44, 40
172.16.115.234/204.27.201.32, 44, 40
172.16.112.207/206.83.105.134, 88, 80
172.16.116.201/209.49.75.190, 132, 120
172.16.112.194/195.73.151.50, 17046, 22806
172.16.113.105/205.150.151.100, 44, 40
172.16.115.234/167.8.29.123, 44, 40
194.7.248.153/192.168.1.20, 9522, 50730
172.16.117.103/134.152.105.93, 176, 160
172.16.117.132/206.154.102.105, 44, 40
172.16.117.103/207.200.74.28, 44, 40
172.16.112.149/208.223.142.33, 44, 40
192.168.1.10/172.16.113.50, 16946, 4635
172.16.116.44/192.41.14.213, 132, 120
172.16.113.204/204.202.136.230, 88, 80
172.16.117.52/134.177.3.28, 44, 40
208.240.124.83/172.16.112.50, 897024, 1097311
172.16.112.207/204.123.2.69, 88, 80
172.16.115.234/204.162.243.57, 88, 80
172.16.112.194/198.11.57.76, 44, 40
172.16.114.168/204.146.28.55, 44, 40
172.16.114.148/208.21.239.3, 44, 40
172.16.114.168/209.1.112.252, 132, 120
172.16.117.103/131.84.1.31, 44, 40
172.16.113.84/197.218.177.69, 66677, 811073
172.16.113.204/136.149.142.178, 88, 80
172.16.116.201/209.207.5.102, 132, 120
172.16.116.44/128.103.180.53, 176, 160
172.16.116.201/131.84.1.31, 44, 40
172.16.117.132/194.235.67.129, 396, 360
172.16.117.103/209.185.106.195, 44, 40
172.16.117.132/207.240.16.92, 132, 120
172.16.115.234/204.123.2.66, 88, 80
172.16.113.204/207.25.71.145, 88, 80
172.16.115.234/204.71.177.219, 44, 40
172.16.117.103/209.1.112.251, 132, 120
172.16.115.234/208.138.68.11, 132, 120
172.16.113.84/131.84.1.31, 396, 360
172.16.114.168/207.46.131.143, 44, 40
172.16.113.84/207.25.71.37, 88, 80
172.16.116.44/204.162.96.34, 176, 160
