index, total_number_packets, total_bytes
172.16.113.204/204.202.136.230, 4, 168
172.16.112.194/195.188.218.116, 4, 168
172.16.113.84/204.71.177.71, 16, 672
172.16.114.169/196.227.33.189, 564, 61608
194.7.248.153/172.16.114.148, 2092, 736187
172.16.113.204/205.131.175.5, 2, 84
172.16.113.84/131.84.1.68, 2, 84
172.16.117.132/206.79.179.170, 4, 168
172.16.114.207/152.163.210.14, 2, 84
172.16.113.84/204.152.167.20, 6, 252
172.16.116.44/134.205.165.120, 158, 6636
172.16.117.103/198.3.99.199, 2, 84
172.16.113.84/207.121.187.251, 2, 84
172.16.116.201/207.25.71.25, 18, 756
172.16.114.50/135.8.60.182, 457, 47206
172.16.115.234/128.103.180.53, 10, 420
172.16.113.84/136.149.142.178, 22, 924
172.16.112.207/208.149.248.2, 2, 84
172.16.112.194/134.205.165.120, 2, 84
172.16.112.149/206.79.171.51, 20, 840
172.16.115.87/204.152.167.20, 4, 168
195.73.151.50/172.16.112.149, 364, 41083
197.182.91.233/172.16.113.204, 752, 92492
135.8.60.182/172.16.114.207, 633, 66616
172.16.116.201/205.181.112.122, 2, 84
172.16.114.148/192.239.92.66, 4, 168
172.16.117.103/207.51.123.250, 4, 168
172.16.114.148/205.131.175.5, 2, 84
172.16.117.103/207.168.8.10, 2, 84
172.16.114.50/197.218.177.69, 883, 334542
135.8.60.182/172.16.113.84, 816, 97374
195.73.151.50/172.16.112.50, 419, 45684
172.16.116.44/206.83.105.134, 4, 168
172.16.117.132/207.77.90.77, 8, 336
172.16.117.103/198.102.244.44, 12, 504
197.182.91.233/172.16.113.84, 568, 66091
172.16.114.169/204.152.167.20, 2, 84
172.16.113.84/187.187.187.187, 10, 420
172.16.116.201/160.111.25.70, 2, 84
172.16.117.52/192.208.46.158, 2, 84
192.168.1.10/172.16.112.194, 112, 16391
172.16.117.103/209.26.69.29, 2, 84
172.16.117.132/207.159.129.101, 6, 252
172.16.112.207/205.181.112.65, 4, 168
194.7.248.153/172.16.113.50, 249, 22953
172.16.117.132/192.101.147.17, 14, 588
172.16.112.20/194.27.251.21, 83, 10157
192.168.1.10/172.16.113.105, 108, 15965
172.16.117.103/160.111.100.65, 2, 84
172.16.112.149/204.71.177.71, 24, 1008
172.16.117.132/152.163.210.14, 2, 84
172.16.113.84/207.155.76.245, 2, 84
172.16.112.207/187.187.187.187, 2, 84
135.13.216.191/172.16.114.169, 899, 95034
208.240.124.83/172.16.112.50, 44590, 1994335
172.16.114.207/207.25.71.25, 6, 252
172.16.113.204/206.79.171.51, 14, 588
172.16.117.103/209.185.106.215, 4, 168
172.16.112.149/209.68.3.136, 8, 336
172.16.113.204/131.84.1.31, 18, 756
172.16.117.132/206.81.247.141, 2, 84
172.16.112.207/131.15.144.55, 8, 336
172.16.117.103/206.71.77.228, 2, 84
172.16.116.44/207.25.71.25, 2, 84
172.16.112.149/207.25.71.25, 4, 168
196.227.33.189/172.16.113.50, 260, 25002
172.16.117.132/205.181.112.65, 2, 84
172.16.117.132/196.37.75.158, 136, 25084
172.16.114.168/131.84.1.31, 18, 756
172.16.117.132/62.52.69.103, 6, 252
172.16.116.201/206.79.171.51, 10, 420
172.16.113.105/194.7.248.153, 344, 36609
172.16.113.204/135.8.60.182, 357, 34886
172.16.115.234/166.82.88.27, 2, 84
172.16.116.201/207.170.100.29, 12, 504
172.16.116.201/134.205.165.120, 18, 756
204.71.51.16/172.16.112.50, 172, 11193
172.16.116.201/167.8.167.62, 2, 84
172.16.114.169/207.25.71.25, 6, 252
172.16.113.84/209.27.46.221, 2, 84
