index, number_packets_client_server, number_packets_server_client
172.16.114.169/204.71.242.42, 6, 6
172.16.113.84/128.120.134.2, 1, 1
172.16.114.207/140.147.248.9, 58, 71
172.16.115.87/207.172.3.90, 1, 1
172.16.116.194/203.26.196.3, 1, 1
172.16.114.169/204.162.80.136, 8, 8
192.168.1.10/172.16.112.50, 85, 83
172.16.113.204/152.163.210.8, 98, 119
172.16.112.207/135.8.60.182, 413, 425
172.16.114.168/205.131.175.2, 2, 2
172.16.112.194/187.187.187.187, 1, 1
172.16.114.168/130.219.34.100, 6, 6
172.16.114.168/204.152.167.20, 1, 1
172.16.114.207/207.155.125.158, 1, 1
172.16.116.201/206.161.69.114, 2, 2
172.16.117.103/206.132.25.71, 3, 3
172.16.115.5/207.46.130.139, 8, 8
172.16.117.132/204.17.6.160, 2, 2
172.16.114.168/192.5.41.239, 98, 97
192.168.1.10/172.16.113.50, 108, 93
172.16.116.194/199.94.100.2, 1, 1
172.16.116.194/165.227.192.135, 1, 1
172.16.117.132/207.68.178.148, 1, 1
172.16.112.50/195.115.218.108, 123, 116
172.16.114.168/206.132.25.71, 2, 2
172.16.112.149/205.181.112.65, 1, 1
172.16.115.87/204.250.200.22, 1, 1
172.16.114.168/128.120.237.201, 1, 1
172.16.115.5/198.3.98.74, 2, 2
172.16.112.149/205.181.112.66, 2, 2
172.16.117.52/207.77.90.200, 2, 2
172.16.115.5/209.68.8.234, 1, 1
172.16.115.234/209.1.112.251, 1, 1
172.16.115.5/204.202.129.230, 1, 1
172.16.117.52/205.169.236.247, 4, 4
172.16.113.204/209.1.31.43, 2, 2
172.16.115.87/208.134.241.204, 1, 1
172.16.115.5/208.134.246.201, 1, 1
172.16.117.132/149.174.213.38, 2, 2
172.16.114.168/129.219.30.12, 1, 1
192.168.1.10/172.16.112.194, 12, 13
172.16.115.5/207.211.106.40, 1, 1
196.37.75.158/172.16.113.84, 301, 293
172.16.115.5/198.253.187.3, 5, 5
172.16.113.105/207.25.71.145, 3, 3
172.16.117.132/207.77.90.13, 5, 5
172.16.114.168/207.25.71.145, 6, 6
172.16.114.168/208.236.141.38, 2, 2
172.16.116.194/137.245.85.134, 2, 2
172.16.115.5/198.3.98.170, 1, 1
172.16.117.132/204.123.2.93, 2, 2
172.16.115.5/209.143.198.141, 2, 2
172.16.113.84/192.208.46.102, 1, 1
172.16.112.20/196.227.33.189, 154, 159
172.16.117.111/192.225.36.3, 4, 4
172.16.114.168/207.240.40.66, 2, 2
172.16.112.149/194.27.251.21, 311, 311
172.16.114.168/128.174.95.19, 3, 3
135.13.216.191/172.16.113.50, 208, 177
195.115.218.108/172.16.112.194, 375, 371
172.16.112.207/152.163.210.8, 1, 1
172.16.115.87/128.252.130.12, 4, 4
172.16.114.168/207.68.137.69, 1, 1
172.16.114.207/198.202.75.101, 2, 2
172.16.115.87/134.205.165.120, 5, 5
172.16.112.207/209.100.88.8, 1, 1
172.16.117.111/207.46.148.250, 8, 8
172.16.117.132/209.1.112.251, 1, 1
172.16.117.132/152.163.210.53, 1, 1
172.16.114.169/206.132.25.71, 4, 4
172.16.115.5/198.60.134.51, 1, 1
172.16.117.103/207.25.71.27, 1, 1
172.16.115.87/151.193.131.5, 1, 1
172.16.114.168/206.99.218.19, 1, 1
172.16.115.87/199.95.74.90, 1, 1
172.16.117.52/165.230.116.132, 2, 2
172.16.115.87/207.68.161.39, 1, 1
172.16.116.194/209.61.101.125, 7, 7
192.168.1.10/172.16.114.148, 79, 78
172.16.117.111/132.55.120.26, 4, 4
172.16.114.207/209.130.63.160, 4, 4
172.16.117.52/205.181.211.160, 3, 3
172.16.113.105/128.200.126.12, 1, 1
172.16.113.105/209.1.28.62, 1, 1
172.16.113.105/195.166.128.64, 2, 2
172.16.116.201/152.163.210.8, 4, 4
135.8.60.182/172.16.113.50, 65, 55
172.16.117.111/204.162.156.13, 1, 1
196.37.75.158/172.16.113.50, 29, 27
172.16.116.194/152.163.210.8, 2, 2
172.16.114.168/198.11.57.54, 5, 5
172.16.117.132/205.158.31.42, 2, 2
172.16.112.194/205.181.112.122, 1, 1
172.16.115.5/198.3.99.130, 1, 1
172.16.113.204/209.43.240.171, 16, 16
172.16.116.201/152.163.212.118, 3, 3
172.16.116.201/195.166.128.64, 2, 2
172.16.113.204/204.152.167.20, 27, 42
172.16.114.148/206.132.25.71, 1, 1
172.16.114.50/197.182.91.233, 223, 214
172.16.117.52/196.37.75.158, 168, 139
172.16.113.204/128.252.130.12, 4, 4
172.16.112.149/208.212.146.2, 1, 1
172.16.114.168/209.61.101.125, 4, 4
172.16.114.168/205.232.88.166, 3, 3
172.16.116.194/205.131.175.20, 5, 5
172.16.117.52/207.68.161.39, 2, 2
172.16.117.132/207.51.123.250, 2, 2
172.16.114.207/135.13.216.191, 501, 524
172.16.114.168/207.214.25.227, 1, 1
172.16.115.5/35.9.6.4, 1, 1
172.16.117.52/192.151.11.32, 8, 8
172.16.112.149/160.79.217.102, 11, 11
172.16.113.84/187.187.187.187, 2, 2
172.16.116.201/205.228.184.153, 1, 1
172.16.113.84/208.140.130.7, 1, 1
172.16.115.234/167.8.29.16, 1, 1
