index, bytes_client_server, bytes_server_client
172.16.113.204/207.229.128.58, 88, 80
172.16.114.169/207.211.106.40, 44, 40
172.16.113.84/198.105.232.108, 44, 40
195.73.151.50/172.16.113.204, 27861, 30263
172.16.114.207/207.124.103.8, 44, 40
172.16.113.105/206.132.10.128, 44, 40
172.16.115.5/208.212.212.232, 132, 120
172.16.113.105/129.82.100.64, 44, 40
172.16.113.105/209.60.43.230, 88, 80
172.16.117.52/207.46.148.250, 88, 80
172.16.115.234/209.1.224.12, 33879, 202192
172.16.117.132/208.137.11.126, 44, 40
172.16.115.5/204.71.177.201, 220, 200
172.16.115.5/206.190.33.196, 44, 40
172.16.114.168/209.66.96.8, 132, 120
172.16.115.5/208.131.162.161, 44, 40
172.16.117.132/194.175.173.177, 44, 40
172.16.113.84/208.134.246.201, 44, 40
172.16.117.111/194.17.55.67, 44, 40
135.8.60.182/172.16.112.50, 63963, 46499
172.16.114.168/206.184.238.129, 44, 40
172.16.114.168/207.3.227.5, 44, 40
172.16.112.149/196.227.33.189, 39218, 34968
172.16.114.168/195.200.4.18, 88, 80
172.16.112.20/195.73.151.50, 8942, 3428
135.8.60.182/172.16.114.148, 66613, 296208
172.16.112.194/207.77.90.13, 176, 160
172.16.112.149/199.95.74.93, 44, 40
172.16.114.169/209.1.112.251, 453, 477
172.16.117.132/204.123.2.75, 396, 360
172.16.117.52/209.143.215.156, 44, 40
172.16.113.204/207.25.71.178, 484, 440
172.16.116.194/206.243.238.248, 44, 40
172.16.115.87/204.250.200.22, 44, 40
172.16.116.201/192.12.64.13, 44, 40
172.16.116.194/143.158.16.69, 132, 120
172.16.115.87/140.148.3.27, 88, 80
172.16.117.111/207.60.166.93, 132, 120
172.16.115.234/134.205.165.120, 9247, 87189
172.16.115.5/207.211.106.40, 44, 40
172.16.115.5/207.87.175.70, 88, 80
172.16.117.52/207.25.71.145, 308, 280
172.16.117.103/205.169.236.247, 88, 80
172.16.113.105/204.71.200.74, 396, 360
172.16.112.149/167.8.29.16, 528, 480
172.16.114.169/205.181.112.122, 132, 120
192.168.1.10/172.16.113.105, 10022, 3470
172.16.112.149/199.95.74.90, 44, 40
172.16.117.111/209.3.101.137, 132, 120
172.16.117.103/205.181.112.122, 352, 320
172.16.113.105/207.46.130.168, 44, 40
172.16.114.207/207.168.8.10, 44, 40
172.16.114.169/209.73.64.121, 88, 80
172.16.117.103/128.120.237.201, 44, 40
172.16.113.105/208.156.32.218, 44, 40
172.16.114.169/192.96.145.250, 44, 40
195.73.151.50/172.16.112.50, 52176, 39632
172.16.116.194/204.162.156.13, 44, 40
194.7.248.153/192.168.1.20, 27776, 129197
172.16.113.105/136.149.142.178, 484, 440
172.16.113.84/206.246.241.132, 44, 40
172.16.114.168/128.174.95.19, 132, 120
172.16.114.168/204.123.2.75, 44, 40
172.16.117.52/208.134.246.201, 44, 40
172.16.113.84/129.128.4.241, 88, 80
172.16.116.194/204.71.200.74, 44, 40
172.16.117.52/208.134.241.217, 88, 80
172.16.112.207/137.245.85.134, 220, 200
172.16.115.5/209.68.8.234, 44, 40
172.16.113.50/197.218.177.69, 13328, 132540
172.16.117.52/207.25.71.27, 132, 120
172.16.114.148/167.8.29.16, 528, 480
197.218.177.69/172.16.114.50, 4080, 2592
172.16.114.168/134.205.165.120, 176, 160
172.16.117.111/207.68.178.148, 44, 40
172.16.117.103/129.79.254.195, 264, 240
172.16.116.194/205.131.175.20, 220, 200
172.16.112.149/134.205.165.120, 748, 680
172.16.114.169/204.123.2.75, 132, 120
172.16.112.149/207.25.71.27, 88, 80
172.16.115.5/209.22.99.13, 220, 200
172.16.117.111/208.194.115.139, 44, 40
172.16.115.87/204.123.2.107, 44, 40
172.16.115.87/209.22.99.13, 44, 40
172.16.116.194/205.131.175.2, 88, 80
172.16.117.103/206.246.241.132, 44, 40
172.16.115.5/207.90.176.12, 220, 200
172.16.116.194/204.244.192.12, 44, 40
172.16.113.105/209.1.112.251, 44, 40
172.16.113.84/205.181.112.122, 176, 160
172.16.117.103/206.132.25.71, 132, 120
172.16.117.132/209.1.112.251, 44, 40
172.16.116.201/152.163.210.53, 132, 120
135.13.216.191/172.16.114.168, 83641, 72053
172.16.116.194/206.132.25.71, 88, 80
172.16.115.5/208.147.89.70, 176, 160
172.16.113.204/38.165.144.107, 48054, 540173
172.16.114.207/206.138.137.3, 44, 40
172.16.114.50/196.227.33.189, 10034, 10049
172.16.117.103/206.19.42.11, 220, 200
172.16.115.5/208.201.252.114, 44, 40
172.16.113.105/137.244.199.129, 88, 80
172.16.115.5/207.25.71.90, 88, 80
172.16.117.52/165.230.116.132, 88, 80
135.8.60.182/172.16.113.105, 34414, 16377
172.16.115.87/207.201.138.189, 220, 200
172.16.116.201/206.161.69.113, 88, 80
172.16.115.87/131.84.1.31, 308, 280
172.16.114.207/152.119.106.101, 220, 200
172.16.114.168/204.162.156.13, 44, 40
172.16.113.84/207.25.71.27, 44, 40
172.16.117.52/196.227.33.189, 2705, 21747
172.16.114.168/205.219.138.154, 88, 80
196.227.33.189/192.168.1.20, 11083, 48730
172.16.114.169/206.155.199.203, 88, 80
172.16.113.204/204.123.2.93, 44, 40
172.16.114.207/209.1.224.12, 27121, 125722
172.16.114.169/134.177.3.28, 44, 40
172.16.117.52/207.77.90.73, 44, 40
172.16.114.169/203.18.51.47, 616, 560
172.16.114.207/187.187.187.187, 44, 40
172.16.116.194/192.195.23.219, 44, 40
172.16.117.111/152.163.210.8, 23524, 127540
172.16.115.234/204.249.184.55, 220, 200
172.16.117.52/209.25.45.61, 308, 280
172.16.117.111/192.195.23.219, 44, 40
172.16.113.105/209.113.183.114, 44, 40
172.16.114.168/209.61.101.125, 176, 160
172.16.117.111/207.155.106.5, 44, 40
172.16.114.148/209.1.112.251, 44, 40
172.16.117.103/167.8.29.15, 44, 40
172.16.112.149/166.77.13.117, 44, 40
135.13.216.191/172.16.112.149, 82439, 62732
172.16.116.201/140.247.197.195, 176, 160
172.16.114.207/207.25.71.27, 132, 120
172.16.117.103/205.200.37.91, 176, 160
172.16.115.5/204.177.61.2, 132, 120
172.16.117.132/205.228.184.153, 44, 40
172.16.115.87/134.205.131.29, 44, 40
196.37.75.158/172.16.114.169, 43983, 71487
172.16.115.234/207.211.106.40, 3437, 2572
209.12.13.144/172.16.112.50, 203986, 1161594
172.16.114.169/209.100.54.65, 308, 280
172.16.117.111/209.3.101.30, 44, 40
172.16.114.50/197.182.91.233, 24360, 35012
172.16.115.5/207.25.71.27, 264, 240
172.16.115.5/134.205.131.29, 44, 40
172.16.117.52/205.130.85.6, 44, 40
172.16.112.207/131.84.1.31, 220, 200
172.16.117.111/207.25.71.23, 132, 120
172.16.116.194/207.206.205.228, 176, 160
172.16.115.5/207.211.130.15, 44, 40
172.16.115.87/207.172.3.90, 44, 40
172.16.115.5/207.68.137.69, 88, 80
194.7.248.153/172.16.113.50, 7112, 2188
172.16.112.149/206.243.238.248, 44, 40
172.16.113.204/209.75.51.2, 44, 40
172.16.117.111/194.7.248.153, 2942, 17092
172.16.115.5/207.46.130.139, 352, 320
172.16.113.84/167.8.29.16, 264, 240
172.16.113.84/208.214.174.76, 88, 80
172.16.117.132/168.178.54.6, 44, 40
172.16.114.168/196.227.33.189, 62162, 34007
172.16.115.234/209.61.101.125, 44, 40
135.8.60.182/172.16.112.149, 53207, 41054
172.16.115.5/208.216.182.15, 44, 40
172.16.114.169/195.73.151.50, 30104, 30230
172.16.115.5/209.132.59.207, 44, 40
172.16.113.105/197.182.91.233, 27108, 55972
172.16.113.204/152.163.212.171, 1932, 3834
172.16.117.111/209.68.14.202, 132, 120
172.16.117.103/199.181.172.241, 352, 320
172.16.117.103/204.146.18.33, 440, 400
172.16.115.87/130.219.34.100, 264, 240
172.16.113.105/204.101.251.229, 44, 40
172.16.115.5/137.244.199.129, 176, 160
172.16.114.169/192.151.11.32, 616, 560
172.16.113.84/192.168.1.20, 39101, 87370
172.16.117.111/208.7.181.207, 132, 120
172.16.112.149/128.138.236.18, 88, 80
172.16.115.5/148.184.174.31, 88, 80
172.16.117.132/204.117.137.231, 44, 40
172.16.114.207/208.194.115.139, 44, 40
172.16.112.194/204.152.167.20, 88, 80
172.16.112.149/139.72.190.30, 176, 160
172.16.113.105/137.245.85.134, 440, 400
172.16.117.132/134.205.165.120, 44, 40
172.16.117.132/192.96.145.250, 44, 40
172.16.114.168/206.39.184.2, 264, 240
172.16.112.149/204.71.200.74, 88, 80
172.16.114.169/205.181.211.160, 264, 240
172.16.117.132/149.48.46.2, 44, 40
172.16.115.5/209.143.198.141, 88, 80
172.16.112.194/209.1.112.251, 44, 40
172.16.114.168/209.8.150.31, 264, 240
