index, total_number_packets, total_bytes
172.16.115.5/209.70.1.161, 2, 84
172.16.116.194/207.206.205.228, 8, 336
172.16.116.201/204.123.2.93, 4, 168
172.16.116.201/204.29.20.21, 2, 84
172.16.117.111/140.174.208.58, 4, 168
172.16.114.169/206.132.25.71, 8, 336
172.16.115.5/199.95.74.93, 2, 84
172.16.114.168/208.236.141.38, 4, 168
172.16.114.168/198.11.57.54, 10, 420
172.16.114.168/208.214.174.76, 4, 168
172.16.114.168/206.33.210.10, 2, 84
172.16.117.52/167.8.29.16, 2, 84
172.16.113.84/206.246.241.132, 2, 84
172.16.114.168/209.66.96.8, 6, 252
196.227.33.189/172.16.113.50, 178, 20965
172.16.113.204/204.152.167.20, 69, 39280
172.16.115.5/137.244.199.129, 8, 336
172.16.115.5/152.175.1.197, 2, 84
172.16.112.194/196.37.75.158, 597, 71845
197.182.91.233/192.168.1.20, 577, 41980
192.168.1.10/172.16.113.105, 106, 13492
172.16.115.5/209.60.43.230, 4, 168
172.16.115.87/195.200.4.18, 4, 168
172.16.116.201/206.161.69.114, 4, 168
172.16.116.201/209.1.112.251, 4, 168
172.16.115.87/129.48.28.13, 12, 504
172.16.117.52/206.105.64.163, 4, 168
172.16.117.103/199.104.78.3, 32, 1344
172.16.117.111/209.67.183.24, 4, 168
172.16.116.194/208.230.48.214, 2, 84
172.16.116.201/205.164.196.10, 14, 588
196.37.75.158/172.16.114.50, 498, 45338
172.16.117.132/196.37.75.158, 151, 15561
172.16.114.169/209.1.112.252, 2, 84
172.16.112.207/207.46.148.250, 12, 504
195.115.218.108/172.16.112.207, 657, 67524
172.16.117.132/208.135.9.251, 2, 84
172.16.115.5/209.132.68.26, 4, 168
172.16.113.204/152.163.210.8, 217, 64582
172.16.117.52/207.77.90.200, 4, 168
172.16.115.87/204.34.175.79, 6, 252
197.182.91.233/172.16.112.194, 887, 144944
194.7.248.153/172.16.113.50, 74, 9300
172.16.114.168/203.26.196.3, 2, 84
172.16.116.194/192.195.23.219, 2, 84
172.16.115.5/206.71.77.228, 4, 168
172.16.117.132/207.126.101.188, 2, 84
172.16.115.87/206.33.210.10, 2, 84
172.16.112.149/38.251.105.4, 6, 252
172.16.115.87/199.95.74.90, 2, 84
172.16.117.111/199.95.74.90, 12, 504
172.16.116.201/207.211.106.40, 2, 84
172.16.115.5/136.149.133.19, 2, 84
172.16.115.5/207.121.190.172, 14, 588
172.16.117.52/203.18.51.47, 14, 588
172.16.115.5/206.64.127.143, 2, 84
172.16.114.168/205.232.88.166, 6, 252
172.16.115.5/205.181.112.65, 26, 1092
172.16.114.168/207.214.25.227, 2, 84
172.16.116.194/204.146.18.33, 2, 84
172.16.114.169/208.134.246.201, 4, 168
172.16.117.111/192.225.36.3, 8, 336
172.16.112.207/152.163.210.8, 2, 84
172.16.113.204/129.128.4.241, 171, 77913
172.16.117.111/204.162.156.13, 2, 84
172.16.114.207/207.87.15.109, 2, 84
172.16.117.132/205.181.112.65, 14, 588
172.16.116.201/206.58.71.10, 4, 168
172.16.117.132/209.54.53.37, 2, 84
